 section index, x coordinate [mm], halpha [W/m^2/K], halpha_c [W/m^2/K], q_rad [W/m^2], q_total [W/m^2], T_wall_i [K], T_coolant [K], P_coolant [Pa], Re_coolant, v_coolant [m/s], T_hg (cinjarev) [K]
0,-108.95163773909258,916.8121514479072,13130.846029108174,935225.0150916418,2635161.719073336,740.5875225377431,628.8732003448747,4720575.051352695,110302.93168224617,42.30323386209307,2593.627877588077
1,-106.45163773909256,918.4533350943675,13114.365268850202,935225.0150916418,2641666.5608162233,736.8215380855651,624.6914531563004,4722580.130492411,110930.36838844424,42.000948444676176,2593.627877588077
2,-103.95163773909256,920.112764916941,13097.719767388577,935225.0150916418,2648231.928535436,733.0403162576503,620.4890406489998,4724570.754726789,111568.16526286956,41.69762837648324,2593.627877588077
3,-101.45163773909256,921.7910416786979,13080.941562039137,935225.0150916418,2654860.040332424,729.2428310446718,616.2656825278192,4726546.876205118,112216.59466470852,41.39325597543251,2593.627877588077
4,-98.95163773909256,923.488527436483,13064.028301679366,935225.0150916418,2661552.006583478,725.4289349477983,612.0211331397152,4728508.446254742,112875.93880663623,41.08781323030871,2593.627877588077
5,-96.45163773909256,925.2055847003656,13046.977640002602,935225.0150916418,2668308.93500231,721.5984880643138,607.755141892515,4730455.415365849,113546.49028900289,40.78128175706537,2593.627877588077
6,-93.95163773909256,926.9425962046554,13029.78706535898,935225.0150916418,2675131.996696296,717.751338057344,603.4674526098307,4732387.733174183,114228.55250051369,40.47364282477894,2593.627877588077
7,-91.45163773909255,928.699957905024,13012.45396588335,935225.0150916418,2682022.4024888496,713.8873277788866,599.1578039160875,4734305.34844503,114922.44010080764,40.16487735581637,2593.627877588077
8,-88.95163773909255,930.4780734673263,12994.975673722678,935225.0150916418,2688981.3842248474,710.0063013588339,594.8259292410427,4736208.2090572035,115628.47958189769,39.85496590425232,2593.627877588077
9,-86.45163773909255,932.2770368007767,12977.351847823602,935225.0150916418,2696009.1300029387,706.1084324221165,590.4715565023836,4738096.261986038,116347.01276694614,39.543887448013386,2593.627877588077
10,-83.95163773909255,934.0978036781382,12959.552721885353,935225.0150916418,2703107.435992637,702.1955662270167,586.0943901986914,4739969.453228657,117078.41459295567,39.231612529208554,2593.627877588077
11,-81.45163773909255,935.9380754081621,12941.68797855786,935225.0150916418,2710269.5848754463,698.2680696669479,581.6940096204636,4741827.727401503,117823.08278359768,38.91810813294962,2593.627877588077
12,-78.95163773909255,937.7998378545046,12923.692031992156,935225.0150916418,2717501.7409814373,694.3249113029929,577.2699409722163,4743671.027571251,118581.42178949232,38.60334448266918,2593.627877588077
13,-76.45163773909255,939.6835193392634,12905.563093773642,935225.0150916418,2724805.22739424,690.3658845477697,572.821758146479,4745499.29541048,119353.85244459061,38.28729136074354,2593.627877588077
14,-73.95163773909253,941.5899704400846,12887.289790093113,935225.0150916418,2732182.8684827704,686.3901822477384,568.3490282199025,4747312.471177509,120140.80722244608,37.9699202306943,2593.627877588077
15,-71.45163773909253,943.5199417521563,12868.863080816407,935225.0150916418,2739637.1936354954,682.3970196942623,563.8513429884505,4749110.493797602,120942.73154832656,37.6512039208833,2593.627877588077
16,-68.95163773909253,945.473030148941,12850.303465492414,935225.0150916418,2747166.2451142804,678.38813477723,559.3283143465272,4750893.300929039,121760.10384748921,37.33110937611373,2593.627877588077
17,-66.45163773909253,947.4496096546012,12831.615234574407,935225.0150916418,2754770.764647735,674.3636969786669,554.7794665956196,4752660.828683044,122593.42571592657,37.009601981978726,2593.627877588077
18,-63.951637739092526,949.4622919491266,12812.515885109198,935225.0150916418,2762499.163496401,670.2986194483983,550.2043005860556,4754413.0115503725,123443.02798491552,36.686716126579825,2593.627877588077
19,-61.451637739092526,951.502927003008,12793.193954687205,935225.0150916418,2770319.780192059,666.2106412548851,545.6033434704319,4756149.785696241,124309.38916726243,36.36243714891817,2593.627877588077
20,-58.951637739092526,953.5702851615138,12773.68590978314,935225.0150916418,2778227.064818421,662.1034950137923,540.9763940113064,4757871.086618554,125193.03555143534,36.03674010133326,2593.627877588077
21,-56.451637739092526,955.6647359460368,12754.036565190974,935225.0150916418,2786222.860177143,657.976080747552,536.3230980961672,4759576.848657563,126094.50842125546,35.70960216202378,2593.627877588077
22,-53.95163773909252,957.7872801005747,12734.143482045401,935225.0150916418,2794308.6803042307,653.8301013258626,531.6431332900006,4761267.005098144,127014.3884314379,35.38099453391402,2593.627877588077
23,-51.45163773909252,959.9391560941782,12714.24493863756,935225.0150916418,2802489.6148438174,649.6628705886009,526.9360882282289,4762941.4878855115,127955.41646632885,35.05088875236614,2593.627877588077
24,-48.95163773909252,962.1222859164965,12694.627243641704,935225.0150916418,2810772.4140415997,645.471788619453,522.2015564296767,4764600.227370757,128921.55511944214,34.71924877122321,2593.627877588077
25,-46.45163773909251,964.3367975799993,12675.116394173165,935225.0150916418,2819156.978222491,641.2577916728308,517.4390183327567,4766243.151830889,129911.76053005553,34.38603701331993,2593.627877588077
26,-43.95163773909251,966.5839278952324,12655.805703307336,935225.0150916418,2827647.3925959785,637.0197272477105,512.6479313974711,4767870.188045725,130927.99364475532,34.051214511587204,2593.627877588077
27,-41.45163773909251,968.8645582244492,12636.691139320228,935225.0150916418,2836246.3642600756,632.7571837764693,507.82773215390705,4769481.260861078,131971.18955397746,33.714741031099585,2593.627877588077
